Full Time,9.662449836730957,,,,,,,,,,,,,,,
Full Distance,1320,,,,,,,,,,,,,,,
Base Speed,2.5,,,,,,,,,,,,,,,
int,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2,,,,,
96,1644502851.2686255,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,802.3793433694916,6.131226062774658,5.369832515716553,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
97,1644502851.2763975,682.0,716.0,0.3,500.0,34.0,0.17262362124769967,802.3793433694916,6.131226062774658,5.369832515716553,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
98,1644502851.2895973,682.0,718.0,0.3,500.0,36.0,0.1825598531309068,802.3793433694916,6.131226062774658,5.369832515716553,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
99,1644502851.3038316,682.0,718.0,0.3,500.0,36.0,0.1825598531309068,802.3793433694916,6.2113728523254395,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
100,1644502851.3130798,682.0,718.0,0.2958392763907508,500.0,36.0,0.1825598531309068,795.8392763907508,6.2113728523254395,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
101,1644502851.3165202,682.0,718.0,0.2946084983280396,500.0,36.0,0.1825598531309068,794.6084983280396,6.2113728523254395,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
102,1644502851.3249395,679.0,718.0,0.2946084983280396,500.0,39.0,0.19739555984988078,794.6084983280396,6.2113728523254395,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
103,1644502851.3338926,679.0,719.0,0.2946084983280396,500.0,40.0,0.20232162837830373,794.6084983280396,6.25144624710083,5.409905910491943,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
104,1644502851.3758914,679.0,719.0,0.3,500.0,40.0,0.20232162837830373,800.5910571348717,6.25144624710083,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
105,1644502851.3855555,679.0,719.0,0.3,500.0,40.0,0.20232162837830373,800.5910571348717,6.25144624710083,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
106,1644502851.3888102,679.0,714.0,0.3,500.0,35.0,0.1775961672834879,800.5910571348717,6.25144624710083,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
107,1644502851.4027889,679.0,714.0,0.3,500.0,35.0,0.1775961672834879,800.5910571348717,6.25144624710083,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
108,1644502851.4454498,679.0,714.0,0.3,500.0,35.0,0.1775961672834879,800.5910571348717,6.2113728523254395,5.209538459777832,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
109,1644502851.4702804,679.0,714.0,0.3,500.0,35.0,0.1775961672834879,808.7773669362247,6.291519641876221,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
110,1644502851.506436,679.0,714.0,0.29485869571505985,500.0,35.0,0.1775961672834879,794.8586957150599,6.131226062774658,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
111,1644502851.5204456,679.0,717.0,0.29485869571505985,500.0,38.0,0.19245976577634127,794.8586957150599,6.171299457550049,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
112,1644502851.5345347,678.0,717.0,0.29485869571505985,500.0,39.0,0.19739555984988078,794.8586957150599,6.171299457550049,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
113,1644502851.5481737,678.0,717.0,0.29485869571505985,500.0,39.0,0.19739555984988078,794.8586957150599,6.25144624710083,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
114,1644502851.5665097,678.0,717.0,0.29485869571505985,500.0,39.0,0.19739555984988078,794.8586957150599,6.25144624710083,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
115,1644502851.5701106,678.0,717.0,0.28854450919520536,500.0,39.0,0.19739555984988078,788.5445091952054,6.25144624710083,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
116,1644502851.589014,678.0,717.0,0.2839594869112552,500.0,39.0,0.19739555984988078,783.9594869112552,6.2113728523254395,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
117,1644502851.614207,678.0,722.0,0.2839594869112552,500.0,44.0,0.22192449595683528,783.9594869112552,6.171299457550049,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
118,1644502851.6599119,676.0,722.0,0.28528435056096396,500.0,46.0,0.23166225901704268,785.284350560964,6.25144624710083,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
119,1644502851.684471,676.0,722.0,0.28528435056096396,500.0,46.0,0.23166225901704268,785.284350560964,6.25144624710083,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
120,1644502851.6927404,676.0,721.0,0.2783505882636632,500.0,45.0,0.2267988480538859,778.3505882636632,6.25144624710083,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
121,1644502851.7060635,676.0,721.0,0.27560170628095876,500.0,45.0,0.2267988480538859,775.6017062809588,6.2113728523254395,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
122,1644502851.7148209,673.0,721.0,0.27560170628095876,500.0,48.0,0.2413554905754038,775.6017062809588,6.2113728523254395,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
123,1644502851.7230735,673.0,723.0,0.27560170628095876,500.0,50.0,0.25100268664303466,775.6017062809588,6.25144624710083,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
124,1644502851.7258706,673.0,723.0,0.27560170628095876,500.0,50.0,0.25100268664303466,775.6017062809588,6.25144624710083,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
125,1644502851.7454774,673.0,723.0,0.27560170628095876,500.0,50.0,0.25100268664303466,775.6017062809588,6.331593990325928,5.329758644104004,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
